split,metric,comparison,estimate,ci_low,ci_high,ci_unit,bootstrap_samples
all_countries,delta_avg_token_margin_alpha_4,learned_probe_minus_random_direction,0.1601720739586344,0.12877264729500784,0.1927292141136627,pair_id_block,5000
all_countries,delta_avg_token_margin_alpha_4,learned_probe_minus_label_permutation,0.15068002604975111,0.12031748639645991,0.18257288759757206,pair_id_block,5000
all_countries,slope_delta_avg_token_margin_-4_to_4,learned_probe_minus_random_direction,0.03946640950767764,0.03162822992015377,0.0474119842783008,pair_id_block,5000
all_countries,slope_delta_avg_token_margin_-4_to_4,learned_probe_minus_label_permutation,0.037205197230142484,0.02963931994382535,0.04517323264064066,pair_id_block,5000
heldout_countries,delta_avg_token_margin_alpha_4,learned_probe_minus_random_direction,0.1647864144131896,0.09421137447622373,0.23882545768603333,pair_id_block,5000
heldout_countries,delta_avg_token_margin_alpha_4,learned_probe_minus_label_permutation,0.1587831467630394,0.0919582554606807,0.23279652415554755,pair_id_block,5000
heldout_countries,slope_delta_avg_token_margin_-4_to_4,learned_probe_minus_random_direction,0.04048773872210662,0.023505359799713063,0.05899310050410769,pair_id_block,5000
heldout_countries,slope_delta_avg_token_margin_-4_to_4,learned_probe_minus_label_permutation,0.039060746457040635,0.022839472288724672,0.05796708981700099,pair_id_block,5000
