alpha,mean_logit_diff_true_minus_false,mean_logit_diff_on_true_examples,mean_logit_diff_on_false_examples,std_logit_diff,accuracy_from_logit_sign
-4,1.5841410160064697,1.576179027557373,1.5921030044555664,0.11828015744686127,0.5
-2,1.569554090499878,1.561802864074707,1.5773056745529175,0.11629264056682587,0.5
-1,1.5621148347854614,1.5544713735580444,1.5697582960128784,0.11527928709983826,0.5
0,1.5545750856399536,1.5470409393310547,1.562109112739563,0.11425440013408661,0.5
1,1.5469321012496948,1.5395090579986572,1.5543549060821533,0.11321815848350525,0.5
2,1.5391836166381836,1.531873106956482,1.5464938879013062,0.11217198520898819,0.5
4,1.5233594179153442,1.516278862953186,1.530439853668213,0.11005154252052307,0.5
