control_type,directions,mean_delta,std_delta,q025,q975,learned_effect,learned_percentile,empirical_p_ge_learned
label_permutation,20,0.009558495473389692,0.04848379851873935,-0.08134493807452053,0.0876703857071293,0.13539891952244335,1.0,0.047619047619047616
learned_probe,1,0.13539891952244335,0.0,0.13539891952244335,0.13539891952244335,0.13539891952244335,1.0,
random_direction,50,0.00946583805324395,0.04395706871449406,-0.06523219767275562,0.09127909321956545,0.13539891952244335,1.0,0.0196078431372549
