direction_method,layer,alpha,mean_logit_diff_true_minus_false,mean_logit_diff_on_true_examples,mean_logit_diff_on_false_examples,std_logit_diff,accuracy_from_logit_sign,mean_probe_score,mean_probe_score_on_true_examples,mean_probe_score_on_false_examples,probe_score_threshold,accuracy_from_probe_score_threshold
probe,8,-8.0,1.5906717777252197,1.5826172828674316,1.5987263917922974,0.11854603886604309,0.5,-9.353103637695312,-9.202363014221191,-9.503844261169434,-1.3531036376953125,0.5
probe,8,-4.0,1.5728135108947754,1.565014123916626,1.5806130170822144,0.11647071689367294,0.5,-5.3531036376953125,-5.20236349105835,-5.503844261169434,-1.3531036376953125,0.5
probe,8,-2.0,1.563745379447937,1.5560773611068726,1.5714131593704224,0.11537900567054749,0.5,-3.3531033992767334,-3.2023630142211914,-3.5038444995880127,-1.3531036376953125,0.5
probe,8,-1.0,1.559173345565796,1.5515720844268799,1.5667744874954224,0.11482062935829163,0.5,-2.3531036376953125,-2.2023627758026123,-2.5038442611694336,-1.3531036376953125,0.506578947368421
probe,8,0.0,1.5545750856399536,1.5470409393310547,1.562109112739563,0.11425440013408661,0.5,-1.3531036376953125,-1.2023628950119019,-1.5038443803787231,-1.3531036376953125,1.0
probe,8,1.0,1.5499494075775146,1.5424830913543701,1.5574159622192383,0.11368047446012497,0.5,-0.3531036674976349,-0.20236283540725708,-0.5038444399833679,-1.3531036376953125,0.5
probe,8,2.0,1.5452959537506104,1.5378978252410889,1.5526939630508423,0.11309938132762909,0.5,0.6468963027000427,0.7976371645927429,0.4961555302143097,-1.3531036376953125,0.5
probe,8,4.0,1.535901665687561,1.5286413431167603,1.5431623458862305,0.11191655695438385,0.5,2.6468963623046875,2.7976372241973877,2.4961557388305664,-1.3531036376953125,0.5
probe,8,8.0,1.5167477130889893,1.509766936302185,1.523728609085083,0.10947741568088531,0.5,6.6468963623046875,6.797636985778809,6.496155738830566,-1.3531036376953125,0.5
