control,directions_removed,accuracy,auc,separability_auc,model,domain,layer,seed,train_rows,test_rows,split
learned_iterative,0,0.8260869565217391,0.9527410207939508,0.9527410207939508,gpt2-small,capital,8,42,106,46,group
learned_iterative,1,0.8260869565217391,0.945179584120983,0.945179584120983,gpt2-small,capital,8,42,106,46,group
learned_iterative,2,0.8695652173913043,0.941398865784499,0.941398865784499,gpt2-small,capital,8,42,106,46,group
learned_iterative,3,0.8913043478260869,0.9451795841209829,0.9451795841209829,gpt2-small,capital,8,42,106,46,group
learned_iterative,4,0.8478260869565217,0.9111531190926276,0.9111531190926276,gpt2-small,capital,8,42,106,46,group
learned_iterative,5,0.8478260869565217,0.9243856332703213,0.9243856332703213,gpt2-small,capital,8,42,106,46,group
learned_iterative,6,0.8043478260869565,0.892249527410208,0.892249527410208,gpt2-small,capital,8,42,106,46,group
learned_iterative,7,0.7608695652173914,0.892249527410208,0.892249527410208,gpt2-small,capital,8,42,106,46,group
learned_iterative,8,0.782608695652174,0.8620037807183365,0.8620037807183365,gpt2-small,capital,8,42,106,46,group
learned_iterative,9,0.7608695652173914,0.8582230623818525,0.8582230623818525,gpt2-small,capital,8,42,106,46,group
learned_iterative,10,0.7391304347826086,0.8449905482041589,0.8449905482041589,gpt2-small,capital,8,42,106,46,group
learned_iterative,11,0.782608695652174,0.8412098298676749,0.8412098298676749,gpt2-small,capital,8,42,106,46,group
learned_iterative,12,0.7391304347826086,0.831758034026465,0.831758034026465,gpt2-small,capital,8,42,106,46,group
learned_iterative,13,0.7391304347826086,0.833648393194707,0.833648393194707,gpt2-small,capital,8,42,106,46,group
learned_iterative,14,0.7608695652173914,0.8241965973534972,0.8241965973534972,gpt2-small,capital,8,42,106,46,group
learned_iterative,15,0.7608695652173914,0.8147448015122872,0.8147448015122872,gpt2-small,capital,8,42,106,46,group
learned_iterative,16,0.7391304347826086,0.8071833648393195,0.8071833648393195,gpt2-small,capital,8,42,106,46,group
random_direction,0,0.8260869565217391,0.9527410207939508,0.9527410207939508,gpt2-small,capital,8,42,106,46,group
random_direction,1,0.8260869565217391,0.9527410207939508,0.9527410207939508,gpt2-small,capital,8,42,106,46,group
random_direction,2,0.8260869565217391,0.9527410207939508,0.9527410207939508,gpt2-small,capital,8,42,106,46,group
random_direction,3,0.8260869565217391,0.9527410207939508,0.9527410207939508,gpt2-small,capital,8,42,106,46,group
random_direction,4,0.8260869565217391,0.9489603024574669,0.9489603024574669,gpt2-small,capital,8,42,106,46,group
random_direction,5,0.8260869565217391,0.9489603024574669,0.9489603024574669,gpt2-small,capital,8,42,106,46,group
random_direction,6,0.8260869565217391,0.9508506616257089,0.9508506616257089,gpt2-small,capital,8,42,106,46,group
random_direction,7,0.8260869565217391,0.9527410207939508,0.9527410207939508,gpt2-small,capital,8,42,106,46,group
random_direction,8,0.8260869565217391,0.9527410207939508,0.9527410207939508,gpt2-small,capital,8,42,106,46,group
random_direction,9,0.8478260869565217,0.9527410207939508,0.9527410207939508,gpt2-small,capital,8,42,106,46,group
random_direction,10,0.8478260869565217,0.9527410207939508,0.9527410207939508,gpt2-small,capital,8,42,106,46,group
random_direction,11,0.8260869565217391,0.9527410207939508,0.9527410207939508,gpt2-small,capital,8,42,106,46,group
random_direction,12,0.8260869565217391,0.9527410207939508,0.9527410207939508,gpt2-small,capital,8,42,106,46,group
random_direction,13,0.8260869565217391,0.9527410207939508,0.9527410207939508,gpt2-small,capital,8,42,106,46,group
random_direction,14,0.8260869565217391,0.9508506616257089,0.9508506616257089,gpt2-small,capital,8,42,106,46,group
random_direction,15,0.8260869565217391,0.9508506616257089,0.9508506616257089,gpt2-small,capital,8,42,106,46,group
random_direction,16,0.8260869565217391,0.9508506616257089,0.9508506616257089,gpt2-small,capital,8,42,106,46,group
label_permutation,0,0.8260869565217391,0.9527410207939508,0.9527410207939508,gpt2-small,capital,8,42,106,46,group
label_permutation,1,0.8260869565217391,0.9527410207939508,0.9527410207939508,gpt2-small,capital,8,42,106,46,group
label_permutation,2,0.8260869565217391,0.9527410207939508,0.9527410207939508,gpt2-small,capital,8,42,106,46,group
label_permutation,3,0.8260869565217391,0.9527410207939508,0.9527410207939508,gpt2-small,capital,8,42,106,46,group
label_permutation,4,0.8260869565217391,0.9527410207939508,0.9527410207939508,gpt2-small,capital,8,42,106,46,group
label_permutation,5,0.8260869565217391,0.9527410207939508,0.9527410207939508,gpt2-small,capital,8,42,106,46,group
label_permutation,6,0.8260869565217391,0.9527410207939508,0.9527410207939508,gpt2-small,capital,8,42,106,46,group
label_permutation,7,0.8260869565217391,0.9527410207939508,0.9527410207939508,gpt2-small,capital,8,42,106,46,group
label_permutation,8,0.8260869565217391,0.945179584120983,0.945179584120983,gpt2-small,capital,8,42,106,46,group
label_permutation,9,0.8260869565217391,0.945179584120983,0.945179584120983,gpt2-small,capital,8,42,106,46,group
label_permutation,10,0.8478260869565217,0.9470699432892249,0.9470699432892249,gpt2-small,capital,8,42,106,46,group
label_permutation,11,0.8478260869565217,0.945179584120983,0.945179584120983,gpt2-small,capital,8,42,106,46,group
label_permutation,12,0.8478260869565217,0.945179584120983,0.945179584120983,gpt2-small,capital,8,42,106,46,group
label_permutation,13,0.8478260869565217,0.9376181474480152,0.9376181474480152,gpt2-small,capital,8,42,106,46,group
